Time;Command;AffectedRows;ElapsedTime
2018.04.10_01:13:09;DML_INSERT;30000;11199
2018.04.10_01:13:21;DML_INSERT;30000;11849
2018.04.10_01:13:34;DML_INSERT;30000;11843
2018.04.10_01:13:45;DML_INSERT;30000;11433
2018.04.10_01:13:57;DML_INSERT;30000;11341
2018.04.10_01:14:09;DML_INSERT;30000;11556
2018.04.10_01:14:21;DML_INSERT;30000;12331
2018.04.10_01:14:33;DML_INSERT;30000;11677
2018.04.10_01:14:45;DML_INSERT;30000;11475
2018.04.10_01:14:57;DML_INSERT;30000;11695
2018.04.10_01:15:09;DML_INSERT;30000;11253
2018.04.10_01:15:21;DML_INSERT;30000;11838
2018.04.10_01:15:33;DML_INSERT;30000;11784
2018.04.10_01:15:46;DML_INSERT;30000;12772
2018.04.10_01:15:58;DML_INSERT;30000;11892
2018.04.10_01:16:10;DML_INSERT;30000;11962
2018.04.10_01:16:22;DML_INSERT;30000;11410
2018.04.10_01:16:34;DML_INSERT;30000;11633
2018.04.10_01:16:46;DML_INSERT;30000;11711
2018.04.10_01:16:58;DML_INSERT;30000;11244
2018.04.10_01:17:10;DML_INSERT;30000;11931
2018.04.10_01:17:22;DML_INSERT;30000;11941
2018.04.10_01:17:34;DML_INSERT;30000;11769
2018.04.10_01:17:47;DML_INSERT;30000;12717
2018.04.10_01:17:59;DML_INSERT;30000;11887
2018.04.10_01:18:11;DML_INSERT;30000;11308
2018.04.10_01:18:23;DML_INSERT;30000;11850
2018.04.10_01:18:35;DML_INSERT;30000;11480
2018.04.10_08:47:23;DML_DELETE;3000000;24219
2018.04.10_08:47:57;DML_INSERT;40000;15934
2018.04.10_08:48:14;DML_INSERT;40000;16077
2018.04.10_08:48:29;DML_INSERT;40000;15173
2018.04.10_08:48:45;DML_INSERT;40000;15275
2018.04.10_08:49:00;DML_INSERT;40000;15183
2018.04.10_08:49:15;DML_INSERT;40000;14825
2018.04.10_08:49:31;DML_INSERT;40000;15404
2018.04.10_08:49:47;DML_INSERT;40000;15757
2018.04.10_08:50:05;DML_INSERT;40000;17124
2018.04.10_08:50:20;DML_INSERT;40000;15554
2018.04.10_08:50:35;DML_INSERT;40000;14639
2018.04.10_08:50:50;DML_INSERT;40000;14606
2018.04.10_08:51:06;DML_INSERT;40000;15020
2018.04.10_08:51:21;DML_INSERT;40000;15500
2018.04.10_08:51:37;DML_INSERT;40000;15385
2018.04.10_08:51:52;DML_INSERT;40000;14356
2018.04.10_08:52:07;DML_INSERT;40000;14857
2018.04.10_08:52:22;DML_INSERT;40000;14785
2018.04.10_08:52:38;DML_INSERT;40000;15410
2018.04.10_08:52:54;DML_INSERT;40000;15601
2018.04.10_08:53:09;DML_INSERT;40000;15286
2018.04.10_08:53:25;DML_INSERT;40000;15264
2018.04.10_08:53:41;DML_INSERT;40000;15803
2018.04.10_08:53:56;DML_INSERT;40000;14683
2018.04.10_08:54:11;DML_INSERT;40000;14608
2018.04.10_08:54:27;DML_INSERT;40000;15762
2018.04.10_08:54:42;DML_INSERT;40000;15132
2018.04.10_08:54:59;DML_INSERT;40000;16454
2018.04.10_08:55:14;DML_INSERT;40000;14830
2018.04.10_08:55:30;DML_INSERT;40000;15343
2018.04.10_08:55:45;DML_INSERT;40000;14631
2018.04.10_08:56:00;DML_INSERT;40000;14424
